metric_loss,total_loss
14.17382526397705,14.17382526397705
38.90070343017578,38.90070343017578
26.94243621826172,26.94243621826172
28.943038940429688,28.943038940429688
64.23622131347656,64.23622131347656
36.94707489013672,36.94707489013672
36.45738983154297,36.45738983154297
59.36224365234375,59.36224365234375
45.07610321044922,45.07610321044922
49.75587463378906,49.75587463378906
33.80789566040039,33.80789566040039
60.82898712158203,60.82898712158203
37.58443832397461,37.58443832397461
30.9929141998291,30.9929141998291
37.524436950683594,37.524436950683594
39.74681091308594,39.74681091308594
45.57843780517578,45.57843780517578
48.47819519042969,48.47819519042969
44.31641387939453,44.31641387939453
43.432044982910156,43.432044982910156
38.6986083984375,38.6986083984375
35.09795379638672,35.09795379638672
46.956947326660156,46.956947326660156
38.71412658691406,38.71412658691406
39.2932014465332,39.2932014465332
38.285980224609375,38.285980224609375
39.042301177978516,39.042301177978516
34.20753860473633,34.20753860473633
42.10242462158203,42.10242462158203
35.707096099853516,35.707096099853516
34.93335723876953,34.93335723876953
33.53558349609375,33.53558349609375
34.79167938232422,34.79167938232422
35.3951301574707,35.3951301574707
34.60726547241211,34.60726547241211
36.53803253173828,36.53803253173828
36.95732879638672,36.95732879638672
36.346214294433594,36.346214294433594
35.61418914794922,35.61418914794922
32.51771926879883,32.51771926879883
32.71358871459961,32.71358871459961
32.46064758300781,32.46064758300781
32.66434097290039,32.66434097290039
32.38914489746094,32.38914489746094
32.77252197265625,32.77252197265625
33.03486633300781,33.03486633300781
32.07954406738281,32.07954406738281
32.06853485107422,32.06853485107422
31.565454483032227,31.565454483032227
31.98236083984375,31.98236083984375
30.329837799072266,30.329837799072266
33.62171936035156,33.62171936035156
33.32621765136719,33.32621765136719
33.22174072265625,33.22174072265625
32.452735900878906,32.452735900878906
32.25718688964844,32.25718688964844
34.72651672363281,34.72651672363281
31.552122116088867,31.552122116088867
32.82042694091797,32.82042694091797
32.02569580078125,32.02569580078125
32.295379638671875,32.295379638671875
31.23275375366211,31.23275375366211
30.740718841552734,30.740718841552734
33.09607696533203,33.09607696533203
32.36011505126953,32.36011505126953
31.457592010498047,31.457592010498047
31.765056610107422,31.765056610107422
31.815034866333008,31.815034866333008
35.53770446777344,35.53770446777344
34.808387756347656,34.808387756347656
31.907272338867188,31.907272338867188
32.336692810058594,32.336692810058594
31.664993286132812,31.664993286132812
30.88646697998047,30.88646697998047
31.82454490661621,31.82454490661621
31.69879150390625,31.69879150390625
31.62747573852539,31.62747573852539
31.464797973632812,31.464797973632812
31.59406852722168,31.59406852722168
32.78486633300781,32.78486633300781
31.888126373291016,31.888126373291016
31.154666900634766,31.154666900634766
32.4267463684082,32.4267463684082
31.853240966796875,31.853240966796875
32.43084716796875,32.43084716796875
34.74052429199219,34.74052429199219
32.26838684082031,32.26838684082031
31.762733459472656,31.762733459472656
31.38181495666504,31.38181495666504
31.760936737060547,31.760936737060547
31.3381404876709,31.3381404876709
32.06664276123047,32.06664276123047
31.855300903320312,31.855300903320312
35.141536712646484,35.141536712646484
33.322845458984375,33.322845458984375
31.24566650390625,31.24566650390625
31.513118743896484,31.513118743896484
31.70199203491211,31.70199203491211
35.35052490234375,35.35052490234375
31.534698486328125,31.534698486328125
32.14410400390625,32.14410400390625
31.869665145874023,31.869665145874023
32.3936882019043,32.3936882019043
31.30973243713379,31.30973243713379
31.876935958862305,31.876935958862305
32.033355712890625,32.033355712890625
31.621028900146484,31.621028900146484
31.36104965209961,31.36104965209961
32.417091369628906,32.417091369628906
31.63768196105957,31.63768196105957
31.864181518554688,31.864181518554688
31.65397834777832,31.65397834777832
