p,power,initial_avg_query_norm,initial_avg_ref_norm,final_avg_query_norm,final_avg_ref_norm
2,1,0.38417142629623413,7.960690021514893,1.0,1.0
2,1,0.4148969054222107,7.960690021514893,1.0,1.0
2,1,0.4424070119857788,7.960690021514893,1.0,1.0
2,1,0.4847564697265625,7.960690021514893,1.0,1.0
2,1,0.48094823956489563,7.960690021514893,1.0,1.0
2,1,0.560682475566864,7.960690021514893,1.0,1.0
2,1,0.5302987098693848,7.960690021514893,1.0,1.0
2,1,0.6088895797729492,7.960690021514893,1.0,1.0
2,1,0.6264430284500122,7.960690021514893,1.0,1.0
2,1,0.6741460561752319,7.960690021514893,1.0,1.0
2,1,0.64326012134552,7.960690021514893,1.0,1.0
2,1,0.7492358684539795,7.960690021514893,1.0,1.0
2,1,0.7166738510131836,7.960690021514893,1.0,1.0
2,1,0.6884382963180542,7.960690021514893,1.0,1.0
2,1,0.8256835341453552,7.960690021514893,1.0,1.0
2,1,0.7095168828964233,7.960690021514893,1.0,1.0
2,1,0.7792001962661743,7.960690021514893,1.0,1.0
2,1,0.7971690893173218,7.960690021514893,1.0,1.0
2,1,0.8027283549308777,7.960690021514893,1.0,1.0
2,1,0.7459895014762878,7.960690021514893,1.0,1.0
2,1,0.7933353185653687,7.960690021514893,1.0,1.0
2,1,0.7778515815734863,7.960690021514893,1.0,1.0
2,1,0.7393786907196045,7.960690021514893,1.0,1.0
2,1,0.899138867855072,7.960690021514893,1.0,1.0
2,1,0.817815899848938,7.960690021514893,1.0,1.0
2,1,0.847031831741333,7.960690021514893,1.0,1.0
2,1,0.7992573380470276,7.960690021514893,1.0,1.0
2,1,0.8626567721366882,7.960690021514893,1.0,1.0
2,1,0.854467511177063,7.960690021514893,1.0,1.0
2,1,0.813198447227478,7.960690021514893,1.0,1.0
2,1,0.8198243379592896,7.960690021514893,1.0,1.0
2,1,0.9875710010528564,7.960690021514893,1.0,1.0
2,1,0.8280693292617798,7.960690021514893,1.0,1.0
2,1,0.8073585033416748,7.960690021514893,1.0,1.0
2,1,0.8621553182601929,7.960690021514893,1.0,1.0
